STATISTIC,STATISTIC Label,TLIST(M1),Month,C02068V02499,Type of Feedstuff,UNIT,VALUE
AJM08,Feed Stuff Price,201408,2014 August,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201408,2014 August,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201408,2014 August,22,Layers' mash (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201408,2014 August,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201408,2014 August,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201408,2014 August,25,Milk replacer,Euro per Tonne,2281.0
AJM08,Feed Stuff Price,201408,2014 August,26,Wheat,Euro per Tonne,206.0
AJM08,Feed Stuff Price,201408,2014 August,27,Ewe feed coarse (16-20% protein),Euro per Tonne,287.0
AJM08,Feed Stuff Price,201408,2014 August,28,Ewe pellets/nuts (16-20%),Euro per Tonne,297.0
AJM08,Feed Stuff Price,201408,2014 August,29,Lamb feed (16-20% protein),Euro per Tonne,305.0
AJM08,Feed Stuff Price,201408,2014 August,30,Cattle fattening meal (13-15% protein),Euro per Tonne,276.0
AJM08,Feed Stuff Price,201409,2014 September,1,Rolled barley,Euro per Tonne,208.0
AJM08,Feed Stuff Price,201409,2014 September,4,Soya bean meal,Euro per Tonne,432.0
AJM08,Feed Stuff Price,201409,2014 September,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201409,2014 September,6,Maize meal,Euro per Tonne,229.0
AJM08,Feed Stuff Price,201409,2014 September,7,Flaked maize,Euro per Tonne,285.0
AJM08,Feed Stuff Price,201409,2014 September,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201409,2014 September,10,Pig fattening meal (13-15% protein),Euro per Tonne,289.0
AJM08,Feed Stuff Price,201409,2014 September,11,Sow breeder (14-16% protein),Euro per Tonne,288.0
AJM08,Feed Stuff Price,201409,2014 September,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201409,2014 September,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,297.0
AJM08,Feed Stuff Price,201409,2014 September,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201409,2014 September,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201409,2014 September,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,273.0
AJM08,Feed Stuff Price,201409,2014 September,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,273.0
AJM08,Feed Stuff Price,201409,2014 September,18,Dairy meal (16-18% protein),Euro per Tonne,257.0
AJM08,Feed Stuff Price,201409,2014 September,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201409,2014 September,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201409,2014 September,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201409,2014 September,22,Layers' mash (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201409,2014 September,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201409,2014 September,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201409,2014 September,25,Milk replacer,Euro per Tonne,2250.0
AJM08,Feed Stuff Price,201409,2014 September,26,Wheat,Euro per Tonne,185.0
AJM08,Feed Stuff Price,201409,2014 September,27,Ewe feed coarse (16-20% protein),Euro per Tonne,273.0
AJM08,Feed Stuff Price,201409,2014 September,28,Ewe pellets/nuts (16-20%),Euro per Tonne,289.0
AJM08,Feed Stuff Price,201409,2014 September,29,Lamb feed (16-20% protein),Euro per Tonne,297.0
AJM08,Feed Stuff Price,201409,2014 September,30,Cattle fattening meal (13-15% protein),Euro per Tonne,261.0
AJM08,Feed Stuff Price,201410,2014 October,1,Rolled barley,Euro per Tonne,202.0
AJM08,Feed Stuff Price,201410,2014 October,4,Soya bean meal,Euro per Tonne,420.0
AJM08,Feed Stuff Price,201410,2014 October,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201410,2014 October,6,Maize meal,Euro per Tonne,227.0
AJM08,Feed Stuff Price,201410,2014 October,7,Flaked maize,Euro per Tonne,279.0
AJM08,Feed Stuff Price,201410,2014 October,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201410,2014 October,10,Pig fattening meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201410,2014 October,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201410,2014 October,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201410,2014 October,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,279.0
AJM08,Feed Stuff Price,201410,2014 October,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201410,2014 October,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201410,2014 October,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,268.0
AJM08,Feed Stuff Price,201410,2014 October,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,270.0
AJM08,Feed Stuff Price,201410,2014 October,18,Dairy meal (16-18% protein),Euro per Tonne,250.0
AJM08,Feed Stuff Price,201410,2014 October,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201410,2014 October,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201410,2014 October,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201410,2014 October,22,Layers' mash (14-16% protein),Euro per Tonne,332.0
AJM08,Feed Stuff Price,201410,2014 October,23,Broiler starter (22-24% protein),Euro per Tonne,499.0
AJM08,Feed Stuff Price,201410,2014 October,24,Broiler finisher (19-21% protein),Euro per Tonne,465.0
AJM08,Feed Stuff Price,201410,2014 October,25,Milk replacer,Euro per Tonne,2296.0
AJM08,Feed Stuff Price,201410,2014 October,26,Wheat,Euro per Tonne,171.0
AJM08,Feed Stuff Price,201410,2014 October,27,Ewe feed coarse (16-20% protein),Euro per Tonne,266.0
AJM08,Feed Stuff Price,201410,2014 October,28,Ewe pellets/nuts (16-20%),Euro per Tonne,276.0
AJM08,Feed Stuff Price,201410,2014 October,29,Lamb feed (16-20% protein),Euro per Tonne,284.0
AJM08,Feed Stuff Price,201410,2014 October,30,Cattle fattening meal (13-15% protein),Euro per Tonne,256.0
AJM08,Feed Stuff Price,201411,2014 November,1,Rolled barley,Euro per Tonne,203.0
AJM08,Feed Stuff Price,201411,2014 November,4,Soya bean meal,Euro per Tonne,424.0
