STATISTIC,STATISTIC Label,TLIST(M1),Month,C02068V02499,Type of Feedstuff,UNIT,VALUE
AJM08,Feed Stuff Price,201908,2019 August,1,Rolled barley,Euro per Tonne,242.0
AJM08,Feed Stuff Price,201908,2019 August,4,Soya bean meal,Euro per Tonne,392.0
AJM08,Feed Stuff Price,201908,2019 August,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201908,2019 August,6,Maize meal,Euro per Tonne,235.0
AJM08,Feed Stuff Price,201908,2019 August,7,Flaked maize,Euro per Tonne,386.0
AJM08,Feed Stuff Price,201908,2019 August,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201908,2019 August,10,Pig fattening meal (13-15% protein),Euro per Tonne,336.0
AJM08,Feed Stuff Price,201908,2019 August,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201908,2019 August,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,378.0
AJM08,Feed Stuff Price,201908,2019 August,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,321.0
AJM08,Feed Stuff Price,201908,2019 August,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201908,2019 August,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201908,2019 August,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,284.0
AJM08,Feed Stuff Price,201908,2019 August,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,296.0
AJM08,Feed Stuff Price,201908,2019 August,18,Dairy meal (16-18% protein),Euro per Tonne,271.0
AJM08,Feed Stuff Price,201908,2019 August,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201908,2019 August,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201908,2019 August,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201908,2019 August,22,Layers' mash (14-16% protein),Euro per Tonne,373.0
AJM08,Feed Stuff Price,201908,2019 August,23,Broiler starter (22-24% protein),Euro per Tonne,432.0
AJM08,Feed Stuff Price,201908,2019 August,24,Broiler finisher (19-21% protein),Euro per Tonne,411.0
AJM08,Feed Stuff Price,201908,2019 August,25,Milk replacer,Euro per Tonne,2170.0
AJM08,Feed Stuff Price,201908,2019 August,26,Wheat,Euro per Tonne,244.0
AJM08,Feed Stuff Price,201908,2019 August,27,Ewe feed coarse (16-20% protein),Euro per Tonne,298.0
AJM08,Feed Stuff Price,201908,2019 August,28,Ewe pellets/nuts (16-20%),Euro per Tonne,303.0
AJM08,Feed Stuff Price,201908,2019 August,29,Lamb feed (16-20% protein),Euro per Tonne,294.0
AJM08,Feed Stuff Price,201908,2019 August,30,Cattle fattening meal (13-15% protein),Euro per Tonne,282.0
AJM08,Feed Stuff Price,201909,2019 September,1,Rolled barley,Euro per Tonne,224.0
AJM08,Feed Stuff Price,201909,2019 September,4,Soya bean meal,Euro per Tonne,378.0
AJM08,Feed Stuff Price,201909,2019 September,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201909,2019 September,6,Maize meal,Euro per Tonne,231.0
AJM08,Feed Stuff Price,201909,2019 September,7,Flaked maize,Euro per Tonne,378.0
AJM08,Feed Stuff Price,201909,2019 September,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201909,2019 September,10,Pig fattening meal (13-15% protein),Euro per Tonne,333.0
AJM08,Feed Stuff Price,201909,2019 September,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201909,2019 September,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,376.0
AJM08,Feed Stuff Price,201909,2019 September,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,315.0
AJM08,Feed Stuff Price,201909,2019 September,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201909,2019 September,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201909,2019 September,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,281.0
AJM08,Feed Stuff Price,201909,2019 September,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,292.0
AJM08,Feed Stuff Price,201909,2019 September,18,Dairy meal (16-18% protein),Euro per Tonne,270.0
AJM08,Feed Stuff Price,201909,2019 September,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201909,2019 September,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201909,2019 September,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201909,2019 September,22,Layers' mash (14-16% protein),Euro per Tonne,374.0
AJM08,Feed Stuff Price,201909,2019 September,23,Broiler starter (22-24% protein),Euro per Tonne,436.0
AJM08,Feed Stuff Price,201909,2019 September,24,Broiler finisher (19-21% protein),Euro per Tonne,415.0
AJM08,Feed Stuff Price,201909,2019 September,25,Milk replacer,Euro per Tonne,2170.0
AJM08,Feed Stuff Price,201909,2019 September,26,Wheat,Euro per Tonne,233.0
AJM08,Feed Stuff Price,201909,2019 September,27,Ewe feed coarse (16-20% protein),Euro per Tonne,291.0
AJM08,Feed Stuff Price,201909,2019 September,28,Ewe pellets/nuts (16-20%),Euro per Tonne,298.0
AJM08,Feed Stuff Price,201909,2019 September,29,Lamb feed (16-20% protein),Euro per Tonne,287.0
AJM08,Feed Stuff Price,201909,2019 September,30,Cattle fattening meal (13-15% protein),Euro per Tonne,276.0
AJM08,Feed Stuff Price,201910,2019 October,1,Rolled barley,Euro per Tonne,212.0
AJM08,Feed Stuff Price,201910,2019 October,4,Soya bean meal,Euro per Tonne,376.0
AJM08,Feed Stuff Price,201910,2019 October,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201910,2019 October,6,Maize meal,Euro per Tonne,229.0
AJM08,Feed Stuff Price,201910,2019 October,7,Flaked maize,Euro per Tonne,378.0
AJM08,Feed Stuff Price,201910,2019 October,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201910,2019 October,10,Pig fattening meal (13-15% protein),Euro per Tonne,333.0
AJM08,Feed Stuff Price,201910,2019 October,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201910,2019 October,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,376.0
AJM08,Feed Stuff Price,201910,2019 October,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,312.0
AJM08,Feed Stuff Price,201910,2019 October,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201910,2019 October,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201910,2019 October,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,277.0
AJM08,Feed Stuff Price,201910,2019 October,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,288.0
AJM08,Feed Stuff Price,201910,2019 October,18,Dairy meal (16-18% protein),Euro per Tonne,267.0
AJM08,Feed Stuff Price,201910,2019 October,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201910,2019 October,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201910,2019 October,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201910,2019 October,22,Layers' mash (14-16% protein),Euro per Tonne,369.0
AJM08,Feed Stuff Price,201910,2019 October,23,Broiler starter (22-24% protein),Euro per Tonne,436.0
AJM08,Feed Stuff Price,201910,2019 October,24,Broiler finisher (19-21% protein),Euro per Tonne,415.0
AJM08,Feed Stuff Price,201910,2019 October,25,Milk replacer,Euro per Tonne,2173.0
AJM08,Feed Stuff Price,201910,2019 October,26,Wheat,Euro per Tonne,224.0
AJM08,Feed Stuff Price,201910,2019 October,27,Ewe feed coarse (16-20% protein),Euro per Tonne,287.0
AJM08,Feed Stuff Price,201910,2019 October,28,Ewe pellets/nuts (16-20%),Euro per Tonne,296.0
AJM08,Feed Stuff Price,201910,2019 October,29,Lamb feed (16-20% protein),Euro per Tonne,286.0
AJM08,Feed Stuff Price,201910,2019 October,30,Cattle fattening meal (13-15% protein),Euro per Tonne,272.0
AJM08,Feed Stuff Price,201911,2019 November,1,Rolled barley,Euro per Tonne,212.0
AJM08,Feed Stuff Price,201911,2019 November,4,Soya bean meal,Euro per Tonne,376.0
AJM08,Feed Stuff Price,201911,2019 November,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201911,2019 November,6,Maize meal,Euro per Tonne,229.0
AJM08,Feed Stuff Price,201911,2019 November,7,Flaked maize,Euro per Tonne,378.0
AJM08,Feed Stuff Price,201911,2019 November,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201911,2019 November,10,Pig fattening meal (13-15% protein),Euro per Tonne,330.0
AJM08,Feed Stuff Price,201911,2019 November,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201911,2019 November,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,363.0
AJM08,Feed Stuff Price,201911,2019 November,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,312.0
AJM08,Feed Stuff Price,201911,2019 November,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201911,2019 November,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201911,2019 November,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,277.0
AJM08,Feed Stuff Price,201911,2019 November,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,286.0
AJM08,Feed Stuff Price,201911,2019 November,18,Dairy meal (16-18% protein),Euro per Tonne,267.0
AJM08,Feed Stuff Price,201911,2019 November,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201911,2019 November,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201911,2019 November,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201911,2019 November,22,Layers' mash (14-16% protein),Euro per Tonne,360.0
AJM08,Feed Stuff Price,201911,2019 November,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201911,2019 November,24,Broiler finisher (19-21% protein),Euro per Tonne,398.0
AJM08,Feed Stuff Price,201911,2019 November,25,Milk replacer,Euro per Tonne,2159.0
AJM08,Feed Stuff Price,201911,2019 November,26,Wheat,Euro per Tonne,221.0
AJM08,Feed Stuff Price,201911,2019 November,27,Ewe feed coarse (16-20% protein),Euro per Tonne,287.0
AJM08,Feed Stuff Price,201911,2019 November,28,Ewe pellets/nuts (16-20%),Euro per Tonne,296.0
AJM08,Feed Stuff Price,201911,2019 November,29,Lamb feed (16-20% protein),Euro per Tonne,286.0
AJM08,Feed Stuff Price,201911,2019 November,30,Cattle fattening meal (13-15% protein),Euro per Tonne,270.0
AJM08,Feed Stuff Price,201912,2019 December,1,Rolled barley,Euro per Tonne,212.0
AJM08,Feed Stuff Price,201912,2019 December,4,Soya bean meal,Euro per Tonne,377.0
AJM08,Feed Stuff Price,201912,2019 December,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201912,2019 December,6,Maize meal,Euro per Tonne,230.0
AJM08,Feed Stuff Price,201912,2019 December,7,Flaked maize,Euro per Tonne,378.0
AJM08,Feed Stuff Price,201912,2019 December,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201912,2019 December,10,Pig fattening meal (13-15% protein),Euro per Tonne,330.0
AJM08,Feed Stuff Price,201912,2019 December,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201912,2019 December,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,363.0
AJM08,Feed Stuff Price,201912,2019 December,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,312.0
AJM08,Feed Stuff Price,201912,2019 December,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201912,2019 December,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201912,2019 December,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,276.0
AJM08,Feed Stuff Price,201912,2019 December,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,286.0
AJM08,Feed Stuff Price,201912,2019 December,18,Dairy meal (16-18% protein),Euro per Tonne,266.0
AJM08,Feed Stuff Price,201912,2019 December,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201912,2019 December,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201912,2019 December,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201912,2019 December,22,Layers' mash (14-16% protein),Euro per Tonne,357.0
AJM08,Feed Stuff Price,201912,2019 December,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201912,2019 December,24,Broiler finisher (19-21% protein),Euro per Tonne,398.0
AJM08,Feed Stuff Price,201912,2019 December,25,Milk replacer,Euro per Tonne,2162.0
AJM08,Feed Stuff Price,201912,2019 December,26,Wheat,Euro per Tonne,222.0
AJM08,Feed Stuff Price,201912,2019 December,27,Ewe feed coarse (16-20% protein),Euro per Tonne,287.0
AJM08,Feed Stuff Price,201912,2019 December,28,Ewe pellets/nuts (16-20%),Euro per Tonne,295.0
AJM08,Feed Stuff Price,201912,2019 December,29,Lamb feed (16-20% protein),Euro per Tonne,286.0
AJM08,Feed Stuff Price,201912,2019 December,30,Cattle fattening meal (13-15% protein),Euro per Tonne,270.0
AJM08,Feed Stuff Price,202001,2020 January,1,Rolled barley,Euro per Tonne,215.0
AJM08,Feed Stuff Price,202001,2020 January,4,Soya bean meal,Euro per Tonne,383.0
AJM08,Feed Stuff Price,202001,2020 January,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,202001,2020 January,6,Maize meal,Euro per Tonne,229.0
AJM08,Feed Stuff Price,202001,2020 January,7,Flaked maize,Euro per Tonne,371.0
AJM08,Feed Stuff Price,202001,2020 January,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202001,2020 January,10,Pig fattening meal (13-15% protein),Euro per Tonne,330.0
AJM08,Feed Stuff Price,202001,2020 January,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202001,2020 January,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,363.0
AJM08,Feed Stuff Price,202001,2020 January,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,311.0
AJM08,Feed Stuff Price,202001,2020 January,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202001,2020 January,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202001,2020 January,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,276.0
AJM08,Feed Stuff Price,202001,2020 January,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,285.0
AJM08,Feed Stuff Price,202001,2020 January,18,Dairy meal (16-18% protein),Euro per Tonne,266.0
AJM08,Feed Stuff Price,202001,2020 January,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202001,2020 January,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202001,2020 January,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202001,2020 January,22,Layers' mash (14-16% protein),Euro per Tonne,357.0
AJM08,Feed Stuff Price,202001,2020 January,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202001,2020 January,24,Broiler finisher (19-21% protein),Euro per Tonne,398.0
AJM08,Feed Stuff Price,202001,2020 January,25,Milk replacer,Euro per Tonne,2166.0
AJM08,Feed Stuff Price,202001,2020 January,26,Wheat,Euro per Tonne,226.0
AJM08,Feed Stuff Price,202001,2020 January,27,Ewe feed coarse (16-20% protein),Euro per Tonne,285.0
AJM08,Feed Stuff Price,202001,2020 January,28,Ewe pellets/nuts (16-20%),Euro per Tonne,294.0
AJM08,Feed Stuff Price,202001,2020 January,29,Lamb feed (16-20% protein),Euro per Tonne,286.0
AJM08,Feed Stuff Price,202001,2020 January,30,Cattle fattening meal (13-15% protein),Euro per Tonne,270.0
AJM08,Feed Stuff Price,202002,2020 February,1,Rolled barley,Euro per Tonne,218.0
AJM08,Feed Stuff Price,202002,2020 February,4,Soya bean meal,Euro per Tonne,385.0
AJM08,Feed Stuff Price,202002,2020 February,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,202002,2020 February,6,Maize meal,Euro per Tonne,231.0
AJM08,Feed Stuff Price,202002,2020 February,7,Flaked maize,Euro per Tonne,371.0
AJM08,Feed Stuff Price,202002,2020 February,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202002,2020 February,10,Pig fattening meal (13-15% protein),Euro per Tonne,330.0
AJM08,Feed Stuff Price,202002,2020 February,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202002,2020 February,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,363.0
AJM08,Feed Stuff Price,202002,2020 February,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,311.0
AJM08,Feed Stuff Price,202002,2020 February,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202002,2020 February,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202002,2020 February,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,276.0
AJM08,Feed Stuff Price,202002,2020 February,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,285.0
AJM08,Feed Stuff Price,202002,2020 February,18,Dairy meal (16-18% protein),Euro per Tonne,266.0
AJM08,Feed Stuff Price,202002,2020 February,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202002,2020 February,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202002,2020 February,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202002,2020 February,22,Layers' mash (14-16% protein),Euro per Tonne,357.0
AJM08,Feed Stuff Price,202002,2020 February,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202002,2020 February,24,Broiler finisher (19-21% protein),Euro per Tonne,398.0
AJM08,Feed Stuff Price,202002,2020 February,25,Milk replacer,Euro per Tonne,2156.0
AJM08,Feed Stuff Price,202002,2020 February,26,Wheat,Euro per Tonne,226.0
AJM08,Feed Stuff Price,202002,2020 February,27,Ewe feed coarse (16-20% protein),Euro per Tonne,285.0
AJM08,Feed Stuff Price,202002,2020 February,28,Ewe pellets/nuts (16-20%),Euro per Tonne,293.0
AJM08,Feed Stuff Price,202002,2020 February,29,Lamb feed (16-20% protein),Euro per Tonne,286.0
AJM08,Feed Stuff Price,202002,2020 February,30,Cattle fattening meal (13-15% protein),Euro per Tonne,270.0
AJM08,Feed Stuff Price,202003,2020 March,1,Rolled barley,Euro per Tonne,218.0
AJM08,Feed Stuff Price,202003,2020 March,4,Soya bean meal,Euro per Tonne,387.0
AJM08,Feed Stuff Price,202003,2020 March,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,202003,2020 March,6,Maize meal,Euro per Tonne,232.0
AJM08,Feed Stuff Price,202003,2020 March,7,Flaked maize,Euro per Tonne,373.0
AJM08,Feed Stuff Price,202003,2020 March,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202003,2020 March,10,Pig fattening meal (13-15% protein),Euro per Tonne,330.0
AJM08,Feed Stuff Price,202003,2020 March,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202003,2020 March,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,363.0
AJM08,Feed Stuff Price,202003,2020 March,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,313.0
AJM08,Feed Stuff Price,202003,2020 March,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202003,2020 March,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202003,2020 March,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,277.0
AJM08,Feed Stuff Price,202003,2020 March,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,286.0
AJM08,Feed Stuff Price,202003,2020 March,18,Dairy meal (16-18% protein),Euro per Tonne,267.0
AJM08,Feed Stuff Price,202003,2020 March,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202003,2020 March,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202003,2020 March,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202003,2020 March,22,Layers' mash (14-16% protein),Euro per Tonne,360.0
AJM08,Feed Stuff Price,202003,2020 March,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202003,2020 March,24,Broiler finisher (19-21% protein),Euro per Tonne,398.0
AJM08,Feed Stuff Price,202003,2020 March,25,Milk replacer,Euro per Tonne,2156.0
AJM08,Feed Stuff Price,202003,2020 March,26,Wheat,Euro per Tonne,230.0
AJM08,Feed Stuff Price,202003,2020 March,27,Ewe feed coarse (16-20% protein),Euro per Tonne,286.0
AJM08,Feed Stuff Price,202003,2020 March,28,Ewe pellets/nuts (16-20%),Euro per Tonne,294.0
AJM08,Feed Stuff Price,202003,2020 March,29,Lamb feed (16-20% protein),Euro per Tonne,287.0
AJM08,Feed Stuff Price,202003,2020 March,30,Cattle fattening meal (13-15% protein),Euro per Tonne,271.0
AJM08,Feed Stuff Price,202004,2020 April,1,Rolled barley,Euro per Tonne,219.0
AJM08,Feed Stuff Price,202004,2020 April,4,Soya bean meal,Euro per Tonne,401.0
AJM08,Feed Stuff Price,202004,2020 April,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,202004,2020 April,6,Maize meal,Euro per Tonne,232.0
AJM08,Feed Stuff Price,202004,2020 April,7,Flaked maize,Euro per Tonne,373.0
AJM08,Feed Stuff Price,202004,2020 April,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202004,2020 April,10,Pig fattening meal (13-15% protein),Euro per Tonne,330.0
AJM08,Feed Stuff Price,202004,2020 April,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202004,2020 April,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,363.0
AJM08,Feed Stuff Price,202004,2020 April,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,316.0
AJM08,Feed Stuff Price,202004,2020 April,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202004,2020 April,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202004,2020 April,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,280.0
AJM08,Feed Stuff Price,202004,2020 April,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,291.0
AJM08,Feed Stuff Price,202004,2020 April,18,Dairy meal (16-18% protein),Euro per Tonne,272.0
AJM08,Feed Stuff Price,202004,2020 April,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202004,2020 April,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202004,2020 April,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202004,2020 April,22,Layers' mash (14-16% protein),Euro per Tonne,360.0
AJM08,Feed Stuff Price,202004,2020 April,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202004,2020 April,24,Broiler finisher (19-21% protein),Euro per Tonne,398.0
AJM08,Feed Stuff Price,202004,2020 April,25,Milk replacer,Euro per Tonne,2152.0
AJM08,Feed Stuff Price,202004,2020 April,26,Wheat,Euro per Tonne,229.0
AJM08,Feed Stuff Price,202004,2020 April,27,Ewe feed coarse (16-20% protein),Euro per Tonne,291.0
AJM08,Feed Stuff Price,202004,2020 April,28,Ewe pellets/nuts (16-20%),Euro per Tonne,298.0
AJM08,Feed Stuff Price,202004,2020 April,29,Lamb feed (16-20% protein),Euro per Tonne,291.0
AJM08,Feed Stuff Price,202004,2020 April,30,Cattle fattening meal (13-15% protein),Euro per Tonne,275.0
AJM08,Feed Stuff Price,202005,2020 May,1,Rolled barley,Euro per Tonne,219.0
AJM08,Feed Stuff Price,202005,2020 May,4,Soya bean meal,Euro per Tonne,397.0
AJM08,Feed Stuff Price,202005,2020 May,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,202005,2020 May,6,Maize meal,Euro per Tonne,232.0
AJM08,Feed Stuff Price,202005,2020 May,7,Flaked maize,Euro per Tonne,373.0
AJM08,Feed Stuff Price,202005,2020 May,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202005,2020 May,10,Pig fattening meal (13-15% protein),Euro per Tonne,330.0
AJM08,Feed Stuff Price,202005,2020 May,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202005,2020 May,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,363.0
AJM08,Feed Stuff Price,202005,2020 May,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,320.0
AJM08,Feed Stuff Price,202005,2020 May,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202005,2020 May,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202005,2020 May,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,282.0
AJM08,Feed Stuff Price,202005,2020 May,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,291.0
AJM08,Feed Stuff Price,202005,2020 May,18,Dairy meal (16-18% protein),Euro per Tonne,273.0
AJM08,Feed Stuff Price,202005,2020 May,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202005,2020 May,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202005,2020 May,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202005,2020 May,22,Layers' mash (14-16% protein),Euro per Tonne,362.0
AJM08,Feed Stuff Price,202005,2020 May,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,202005,2020 May,24,Broiler finisher (19-21% protein),Euro per Tonne,398.0
AJM08,Feed Stuff Price,202005,2020 May,25,Milk replacer,Euro per Tonne,2152.0
AJM08,Feed Stuff Price,202005,2020 May,26,Wheat,Euro per Tonne,230.0
AJM08,Feed Stuff Price,202005,2020 May,27,Ewe feed coarse (16-20% protein),Euro per Tonne,292.0
AJM08,Feed Stuff Price,202005,2020 May,28,Ewe pellets/nuts (16-20%),Euro per Tonne,299.0
AJM08,Feed Stuff Price,202005,2020 May,29,Lamb feed (16-20% protein),Euro per Tonne,292.0
AJM08,Feed Stuff Price,202005,2020 May,30,Cattle fattening meal (13-15% protein),Euro per Tonne,275.0
AJM08,Feed Stuff Price,202006,2020 June,1,Rolled barley,Euro per Tonne,219.0
AJM08,Feed Stuff Price,202006,2020 June,4,Soya bean meal,Euro per Tonne,386.0
AJM08,Feed Stuff Price,202006,2020 June,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,202006,2020 June,6,Maize meal,Euro per Tonne,232.0
